dataVersion,playerId,username,stageName,stageType,isStageUnlock,stageClearTimes,bestPlayerStar,bestPlayerScore,bestPlayerClearTime
Version-1,65c07fd7e5681b767119adc4,Player Name,Basic Staging Area (Practice),Basic,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Advanced Staging Area (Practice),Basic,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Creating First Version (Practice),Basic,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Switching Project Versions (Practice),Basic,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Git Branching Basics (Practice),Branch,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Fast-Forward Merging (Practice),Branch,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Auto Merging (Practice),Branch,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Merge Conflicts (Practice),Branch,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Create Remote Repository (Practice),Remote,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Push to Remote Branches (Practice),Remote,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Keep Branches in Sync (Practice),Remote,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Preparation for Merging (Practice),Remote,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Creating a Pull Request (Practice),Remote,False,0,0,0,0
Version-1,65c07fd7e5681b767119adc4,Player Name,Review and Merge Pull Requests (Practice),Remote,False,0,0,0,0
Version-1,65f72f34e5681b767119d8c9,eee,Game Introduction (Tutorial),Basic,True,1,1,1000,123
Version-1,65f72f34e5681b767119d8c9,eee,Version Control and Git (Tutorial),Basic,True,1,3,2000,112
Version-1,65f72f34e5681b767119d8c9,eee,Create Local Repository (Tutorial),Basic,True,1,1,1000,130
