dataVersion,ownerPlayerId,ownerUsername,stageName,stageType,rank,playerName,playerStar,playerScore,playerClearTime
Version-1,65f72f34e5681b767119d8c9,eee,Create Local Repository (Tutorial),Basic,1,e,1,1000,130
Version-1,65f72f34e5681b767119d8c9,eee,Basic Staging Area (Tutorial),Basic,1,e,1,1000,155
Version-1,65f72f34e5681b767119d8c9,eee,Advanced Staging Area (Tutorial),Basic,1,e,1,1000,119
Version-1,65f72f34e5681b767119d8c9,eee,Creating First Version (Tutorial),Basic,1,e,1,0,369
Version-1,65f72f34e5681b767119d8c9,eee,Switching Project Versions (Tutorial),Basic,1,e,1,1000,183
Version-1,65f72f34e5681b767119d8c9,eee,Git Branching Basics (Tutorial),Branch,1,e,1,0,247
Version-1,65f72f34e5681b767119d8c9,eee,Fast-Forward Merging (Tutorial),Branch,1,e,1,0,163
Version-1,65f72f34e5681b767119d8c9,eee,Auto Merging (Tutorial),Branch,1,e,1,0,282
Version-1,65f72f34e5681b767119d8c9,eee,Merge Conflicts (Tutorial),Branch,1,e,1,0,232
Version-1,65f72f34e5681b767119d8c9,eee,Create Remote Repository (Tutorial),Remote,1,e,1,0,129
Version-1,65f72f34e5681b767119d8c9,eee,Push to Remote Branches (Tutorial),Remote,1,e,1,0,227
Version-1,65f72f34e5681b767119d8c9,eee,Keep Branches in Sync (Tutorial),Remote,1,e,1,1000,140
Version-1,65f72f34e5681b767119d8c9,eee,Preparation for Merging (Tutorial),Remote,1,e,1,1500,183
Version-1,65f72f34e5681b767119d8c9,eee,Creating a Pull Request (Tutorial),Remote,1,e,4,11000,157
Version-1,65f72f34e5681b767119d8c9,eee,Creating a Pull Request (Tutorial),Remote,2,e,1,1000,282
Version-1,65f72f34e5681b767119d8c9,eee,Review and Merge Pull Requests (Tutorial),Remote,1,e,1,0,120
Version-1,65f72f34e5681b767119d8c9,eee,Game Introduction (Practice),Basic,1,e,4,7000,19
Version-1,65f72f34e5681b767119d8c9,eee,Game Introduction (Practice),Basic,2,e,1,0,151
Version-1,65f72f34e5681b767119d8c9,eee,Version Control and Git (Practice),Basic,1,e,3,6000,50
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Game Introduction (Tutorial),Basic,1,clear,4,7000,21
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Game Introduction (Tutorial),Basic,2,clear,4,7000,21
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Game Introduction (Tutorial),Basic,3,clear,4,7000,29
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Version Control and Git (Tutorial),Basic,1,clear,4,3000,44
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Create Local Repository (Tutorial),Basic,1,clear,4,4000,19
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Create Local Repository (Tutorial),Basic,2,clear,4,4000,21
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Create Local Repository (Tutorial),Basic,3,clear,4,4000,22
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Basic Staging Area (Tutorial),Basic,1,clear,4,5000,151
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Advanced Staging Area (Tutorial),Basic,1,clear,4,6000,139
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Creating First Version (Tutorial),Basic,1,clear,4,16000,408
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Switching Project Versions (Tutorial),Basic,1,clear,4,8000,211
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Git Branching Basics (Tutorial),Branch,1,clear,4,9000,241
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Fast-Forward Merging (Tutorial),Branch,1,clear,4,6000,69
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Fast-Forward Merging (Tutorial),Branch,2,clear,4,6000,169
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Auto Merging (Tutorial),Branch,1,clear,3,7750,424
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Auto Merging (Tutorial),Branch,2,clear,3,7750,692
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Merge Conflicts (Tutorial),Branch,1,clear,4,7000,70
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Merge Conflicts (Tutorial),Branch,2,clear,4,7000,74
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Merge Conflicts (Tutorial),Branch,3,clear,4,7000,715
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Create Remote Repository (Tutorial),Remote,1,clear,4,6000,62
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Create Remote Repository (Tutorial),Remote,2,clear,3,5750,2199
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Push to Remote Branches (Tutorial),Remote,1,clear,4,6000,95
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Push to Remote Branches (Tutorial),Remote,2,clear,4,6000,1044
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Keep Branches in Sync (Tutorial),Remote,1,clear,4,5000,199
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Preparation for Merging (Tutorial),Remote,1,clear,4,8000,287
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Preparation for Merging (Tutorial),Remote,2,clear,3,7750,162
Version-1,65f7b3b0e5681b767119e413,NewPlayer,Creating a Pull Request (Tutorial),Remote,1,clear,3,10750,5330
Version-1,65f7d11ce5681b767119e453,D1180757,Game Introduction (Tutorial),Basic,1,D1180757,2,5750,394
Version-1,65f7d11ce5681b767119e453,D1180757,Version Control and Git (Tutorial),Basic,1,D1180757,4,3000,231
Version-1,65f7d11ce5681b767119e453,D1180757,Create Local Repository (Tutorial),Basic,1,D1180757,4,4000,208
Version-1,65f7d11ce5681b767119e453,D1180757,Basic Staging Area (Tutorial),Basic,1,D1180757,4,5000,322
Version-1,65f7d11ce5681b767119e453,D1180757,Advanced Staging Area (Tutorial),Basic,1,D1180757,4,6000,234
Version-1,65f7d11ce5681b767119e453,D1180757,Creating First Version (Tutorial),Basic,1,D1180757,3,15500,619
Version-1,65f7d11ce5681b767119e453,D1180757,Switching Project Versions (Tutorial),Basic,1,D1180757,3,7500,396
Version-1,65f7d11ce5681b767119e453,D1180757,Git Branching Basics (Tutorial),Branch,1,D1180757,2,7750,560
Version-1,65f7d11ce5681b767119e453,D1180757,Fast-Forward Merging (Tutorial),Branch,1,D1180757,3,5750,212
Version-1,65f7d11ce5681b767119e453,D1180757,Auto Merging (Tutorial),Branch,1,D1180757,3,7750,418
Version-1,65f7d11ce5681b767119e453,D1180757,Create Remote Repository (Tutorial),Remote,1,D1180757,4,6000,240
Version-1,65f7d11ce5681b767119e453,D1180757,Push to Remote Branches (Tutorial),Remote,1,D1180757,3,5500,313
Version-1,65f7d11ce5681b767119e453,D1180757,Keep Branches in Sync (Tutorial),Remote,1,D1180757,4,5000,284
Version-1,65f7d11ce5681b767119e453,D1180757,Preparation for Merging (Tutorial),Remote,1,D1180757,1,5500,806
Version-1,65f7d11ce5681b767119e453,D1180757,Creating a Pull Request (Tutorial),Remote,1,D1180757,2,9500,800
Version-1,65f7d11ce5681b767119e453,D1180757,Review and Merge Pull Requests (Tutorial),Remote,1,D1180757,4,4000,398
Version-1,65f7d12de5681b767119e459,D1018508,Game Introduction (Tutorial),Basic,1,D1018508,4,7000,60
Version-1,65f7d12de5681b767119e459,D1018508,Version Control and Git (Tutorial),Basic,1,D1018508,4,3000,135
Version-1,65f7d12de5681b767119e459,D1018508,Create Local Repository (Tutorial),Basic,1,D1018508,4,4000,34
Version-1,65f7d12de5681b767119e459,D1018508,Create Local Repository (Tutorial),Basic,2,D1018508,3,3750,115
Version-1,65f7d12de5681b767119e459,D1018508,Basic Staging Area (Tutorial),Basic,1,D1018508,4,5000,180
Version-1,65f7d12de5681b767119e459,D1018508,Advanced Staging Area (Tutorial),Basic,1,D1018508,4,6000,252
Version-1,65f7d12de5681b767119e459,D1018508,Creating First Version (Tutorial),Basic,1,D1018508,4,16000,348
Version-1,65f7d12de5681b767119e459,D1018508,Switching Project Versions (Tutorial),Basic,1,D1018508,4,8000,216
Version-1,65f7d12de5681b767119e459,D1018508,Git Branching Basics (Tutorial),Branch,1,D1018508,4,9000,337
Version-1,65f7d12de5681b767119e459,D1018508,Fast-Forward Merging (Tutorial),Branch,1,D1018508,4,6000,201
Version-1,65f7d12de5681b767119e459,D1018508,Auto Merging (Tutorial),Branch,1,D1018508,4,8000,165
Version-1,65f7d12de5681b767119e459,D1018508,Auto Merging (Tutorial),Branch,2,D1018508,3,7750,328
Version-1,65f7d12de5681b767119e459,D1018508,Merge Conflicts (Tutorial),Branch,1,D1018508,4,7000,136
Version-1,65f7d12de5681b767119e459,D1018508,Create Remote Repository (Tutorial),Remote,1,D1018508,4,6000,146
Version-1,65f7d12de5681b767119e459,D1018508,Push to Remote Branches (Tutorial),Remote,1,D1018508,4,6000,164
Version-1,65f7d12de5681b767119e459,D1018508,Keep Branches in Sync (Tutorial),Remote,1,D1018508,4,5000,193
Version-1,65f7d12de5681b767119e459,D1018508,Preparation for Merging (Tutorial),Remote,1,D1018508,4,8000,273
Version-1,65f7d12de5681b767119e459,D1018508,Creating a Pull Request (Tutorial),Remote,1,D1018508,4,11000,260
Version-1,65f7d12de5681b767119e459,D1018508,Creating a Pull Request (Tutorial),Remote,2,D1018508,3,10750,656
